"","Variable","Estimate","Est_error","CI_low","CI_high","Rhat","Bulk_ESS","Tail_ESS","Variable_full","Variable_type"
"1","min.extent",-0.173687494311713,0.187594011516912,-0.532470760640451,0.205987170981133,0.999983959599816,3844.73124201468,2764.29548554981,"Sea ice min. extent","ice"
"2","NDVImodis",0.0671195869085993,0.0811028988096549,-0.0938956799801677,0.224461828960643,1.00130813952848,3120.46655471832,2695.98893067404,"MODIS max. NDVI","ndvi"
"3","onset.melt",-0.129228374886966,0.0950690041087949,-0.316533805558615,0.0602341713498245,1.00002398963828,2900.38465395598,2008.83295622543,"Sea ice melt onset","ice"
"4","P1",0.039972437425203,0.111059186781286,-0.181850993576755,0.263994802754245,1.00025888235887,2595.24022403854,2121.92841230654,"Snow melt","ice"
"5","P2",0.0717946781855673,0.0922594470590049,-0.105686196997507,0.249451695934521,1.0016497726659,2189.70053988879,2152.42014173339,"Leaf emergence","pheno"
"6","P5",-0.0368012210389395,0.0738335071897516,-0.184842420441674,0.106239138345669,1.00074533585334,3363.64836986485,2275.63197818646,"Leaf senescence","pheno"
"7","pautumn",-0.0846228100885287,0.074905831431692,-0.233138891827613,0.061376724233897,0.999975006980454,3091.97849628418,2359.85998820725,"Autumn precip.","precip"
"8","ppautumn",0.025665787245741,0.0775129065621702,-0.12728842919842,0.186630521827793,1.00065956167439,2759.29890282004,2005.05991261118,"Prev. autumn precip.","precip"
"9","ppsummer",-0.115308519919863,0.074320443780036,-0.264875987788678,0.0323210514426083,0.999882773660256,3023.42308377188,1996.10040691119,"Prev. summer precip.","precip"
"10","pPx",-0.0329600071245161,0.0810611736691416,-0.187964637197042,0.12395698249589,1.00059076959969,2886.73518315141,2719.34618126619,"Prev. GSL","pheno"
"11","pspring",-0.0388342764672999,0.0658380173575757,-0.169191661779429,0.0903459212066216,1.00151684147732,2781.54976490761,2272.45349247672,"Spring precip.","precip"
"12","psummer",-0.0244327979066568,0.0839527242934374,-0.19050526002964,0.141313486153349,1.00019948938698,2757.67716023469,2145.25530648091,"Summer precip.","precip"
"13","ptautumn",0.0771839035498332,0.0820314415724549,-0.0859790837336053,0.234339123230674,1.00112639952293,2432.59083624477,1844.62446681285,"Prev. temp. autumn","temp"
"14","ptsummer",-0.0500180502034271,0.0899569784321712,-0.225513618103117,0.1303528827473,1.00001599703588,2887.99359843569,2354.74160231148,"Prev. temp. summer","temp"
"15","pwinter",-0.0162916780300966,0.0960697689311607,-0.214190368567031,0.170428009394578,1.00377267258621,2309.83934645976,1710.77853550718,"Winter precip.","precip"
"16","Px",-0.129625475755269,0.0853343210767601,-0.294578546541183,0.0407527584610137,1.00062247602865,2226.1171034377,2017.28215549898,"GSL","pheno"
"17","tautumn",0.153193138468279,0.0758640556042387,0.00245369917209487,0.299020785860601,0.999677780619504,4087.46681334496,2800.64738967442,"Autumn temp.","temp"
"18","tspring",-0.0840509266947728,0.0750683102551454,-0.231683800763895,0.0676255324463736,1.00108120396073,2566.38626161324,2440.20551130279,"Spring temp.","temp"
"19","tsummer",0.120738035177349,0.0835785082027091,-0.0457874468606889,0.281353404415489,1.00019309607954,2856.78778814068,2498.24347476995,"Summer temp.","temp"
"20","twinter",-0.0958665211902278,0.0628579257416529,-0.219049855572953,0.0312331166388686,1.0036842923536,2416.52727804641,1505.9311760653,"Winter temp.","temp"
